events_id,E_sum_cen_biletow_z_rynku_w,E_srednia_cena_biletow_z_rynku_w,E_liczba_biletow_z_rynku_w,E_dostepne_sektory
336260,330,10,33,event z jadną głowna salą
316437,280,10,28,event z jadną głowna salą
309752,110,55,2,event bez numerowanych miejsc
332770,1150,50,23,event z jadną głowna salą
388519,405,15,27,event z jadną głowna salą
327659,240,10,24,event z jadną głowna salą
382137,360,15,24,event z jadną głowna salą
394849,465,465,1,event bez numerowanych miejsc
349616,2500,500,5,event bez numerowanych miejsc
434454,100,25,4,event z jadną głowna salą
429646,160,20,8,event z jadną głowna salą
382330,1000,25,40,event z jadną głowna salą
390899,580,20,29,event z jadną głowna salą
330428,675,15,45,event z jadną głowna salą
349158,780,15,52,event z jadną głowna salą
431415,350,25,14,event z jadną głowna salą
434455,550,55,10,event z jadną głowna salą
431412,50,50,1,event z jadną głowna salą
382301,1215,45,27,event z jadną głowna salą
431414,90,30,3,event z jadną głowna salą
306192,40,10,4,event bez numerowanych miejsc
306193,60,10,6,event bez numerowanych miejsc
378839,550,55,10,event bez numerowanych miejsc
316670,450,10,45,event z jadną głowna salą
432600,10,10,1,event bez numerowanych miejsc
268999,2660,70,38,event z jadną głowna salą
421901,0,0,0,event bez numerowanych miejsc
422781,0,0,0,brak danych
306282,1040,40,26,event z jadną głowna salą
419391,60,20,3,event bez numerowanych miejsc
344031,100,10,10,event z jadną głowna salą
306189,0,0,0,event z jadną głowna salą
304941,70,10,7,event z jadną głowna salą
387462,75,15,5,event z jadną głowna salą
382115,0,0,0,event z jadną głowna salą
380375,50,25,2,event z jadną głowna salą
307305,60,15,4,event z jadną głowna salą
307306,45,15,3,event z jadną głowna salą
407540,0,0,0,event bez numerowanych miejsc
402072,0,0,0,event bez numerowanych miejsc
399375,350,35,10,event bez numerowanych miejsc
384930,0,0,0,event bez numerowanych miejsc
319401,2400,40,60,event bez numerowanych miejsc
418001,420,140,3,event bez numerowanych miejsc
421291,0,0,0,event bez numerowanych miejsc
415154,14575,275,53,event bez numerowanych miejsc
436248,150,10,15,event z jadną głowna salą
385532,10,10,1,event bez numerowanych miejsc
387117,10,10,1,event bez numerowanych miejsc
384940,10,10,1,event bez numerowanych miejsc
382128,0,0,0,event bez numerowanych miejsc
382125,45,45,1,event bez numerowanych miejsc
382127,15,15,1,event bez numerowanych miejsc
382126,100,50,2,event bez numerowanych miejsc
399908,0,0,0,event bez numerowanych miejsc
399356,360,45,8,event bez numerowanych miejsc
349832,40,40,1,event z jadną głowna salą
431560,25,25,1,event z jadną głowna salą
365444,20,10,2,event z jadną głowna salą
315103,160,40,4,event z jadną głowna salą
354622,200,40,5,event z jadną głowna salą
354624,240,40,6,event z jadną głowna salą
348449,175,25,7,event z jadną głowna salą
385007,315,45,7,event z jadną głowna salą
334614,10,10,1,event z jadną głowna salą
326910,280,40,7,event z jadną głowna salą
369326,405,45,9,event z jadną głowna salą
313289,225,25,9,event z jadną głowna salą
315099,225,25,9,event z jadną głowna salą
431557,20,20,1,event z jadną głowna salą
429510,240,60,4,event z jadną głowna salą
326912,200,40,5,event z jadną głowna salą
399359,420,35,12,event z jadną głowna salą
337029,10,10,1,event z jadną głowna salą
315106,240,40,6,event z jadną głowna salą
296585,280,35,8,event z jadną głowna salą
326904,270,30,9,event z jadną głowna salą
344985,10,10,1,event z jadną głowna salą
337030,10,10,1,event z jadną głowna salą
347607,100,25,4,event z jadną głowna salą
391014,300,25,12,event z jadną głowna salą
302408,160,40,4,event z jadną głowna salą
340182,40,40,1,event z jadną głowna salą
365445,20,10,2,event z jadną głowna salą
379724,280,35,8,event z jadną głowna salą
361841,20,10,2,event bez numerowanych miejsc
315094,385,35,11,event z jadną głowna salą
302410,330,30,11,event z jadną głowna salą
357406,240,40,6,event z jadną głowna salą
344987,10,10,1,event z jadną głowna salą
354616,200,40,5,event z jadną głowna salą
307006,200,40,5,event z jadną głowna salą
384363,240,30,8,event z jadną głowna salą
315097,210,30,7,event z jadną głowna salą
315098,210,35,6,event z jadną głowna salą
296583,210,30,7,event z jadną głowna salą
385013,150,25,6,event z jadną głowna salą
430891,150,30,5,event z jadną głowna salą
315087,200,40,5,event z jadną głowna salą
315093,240,30,8,event z jadną głowna salą
334616,10,10,1,event z jadną głowna salą
365446,10,10,1,event z jadną głowna salą
380076,80,20,4,event z jadną głowna salą
315114,175,25,7,event z jadną głowna salą
340180,200,40,5,event z jadną głowna salą
354607,180,30,6,event z jadną głowna salą
344988,0,0,0,event z jadną głowna salą
365447,10,10,1,event z jadną głowna salą
308808,10,10,1,event z jadną głowna salą
377271,125,25,5,event z jadną głowna salą
380077,100,25,4,event z jadną głowna salą
326905,315,35,9,event z jadną głowna salą
379726,280,35,8,event z jadną głowna salą
269276,270,30,9,event z jadną głowna salą
385015,240,30,8,event z jadną głowna salą
302141,160,40,4,event z jadną głowna salą
340181,240,40,6,event z jadną głowna salą
379719,160,40,4,event z jadną głowna salą
379402,180,45,4,event z jadną głowna salą
427558,30,30,1,event bez numerowanych miejsc
397785,105,35,3,event bez numerowanych miejsc
354608,175,35,5,event z jadną głowna salą
322240,80,40,2,event z jadną głowna salą
269356,120,30,4,event z jadną głowna salą
354617,80,40,2,event z jadną głowna salą
431638,220,55,4,event z jadną głowna salą
379723,180,30,6,event z jadną głowna salą
384608,100,25,4,event bez numerowanych miejsc
379725,90,30,3,event z jadną głowna salą
387984,40,10,4,event z jadną głowna salą
400286,140,35,4,event bez numerowanych miejsc
377270,20,20,1,event z jadną głowna salą
302135,150,30,5,event z jadną głowna salą
391416,40,40,1,event z jadną głowna salą
302411,280,35,8,event z jadną głowna salą
394277,220,20,11,event z jadną głowna salą
269277,180,30,6,event z jadną głowna salą
315699,0,0,0,event z jadną głowna salą
272907,30,30,1,event z jadną głowna salą
313413,60,20,3,event z jadną głowna salą
272637,20,20,1,event z jadną głowna salą
302140,245,35,7,event z jadną głowna salą
315700,0,0,0,event z jadną głowna salą
315089,30,30,1,event z jadną głowna salą
401971,20,20,1,event bez numerowanych miejsc
375377,70,35,2,event z jadną głowna salą
326906,60,30,2,event z jadną głowna salą
431637,330,55,6,event z jadną głowna salą
272908,25,25,1,event z jadną głowna salą
325024,15,15,1,event z jadną głowna salą
338658,20,20,1,event z jadną głowna salą
384609,125,25,5,event bez numerowanych miejsc
340377,0,0,0,event bez numerowanych miejsc
361971,10,10,1,event bez numerowanych miejsc
269350,0,0,0,event z jadną głowna salą
279389,20,20,1,event z jadną głowna salą
326765,0,0,0,event z jadną głowna salą
389057,20,20,1,event bez numerowanych miejsc
333224,20,20,1,event z jadną głowna salą
333225,20,20,1,event z jadną głowna salą
326763,0,0,0,event z jadną głowna salą
376741,0,0,0,event z jadną głowna salą
315092,60,30,2,event z jadną głowna salą
315095,120,30,4,event z jadną głowna salą
313283,0,0,0,event z jadną głowna salą
358394,0,0,0,event z jadną głowna salą
388075,315,45,7,event z jadną głowna salą
306484,0,0,0,event z jadną głowna salą
365381,0,0,0,event z jadną głowna salą
384368,0,0,0,event z jadną głowna salą
346171,50,25,2,event z jadną głowna salą
269351,0,0,0,event z jadną głowna salą
317610,0,0,0,event z jadną głowna salą
333216,0,0,0,event z jadną głowna salą
338659,0,0,0,event z jadną głowna salą
313428,0,0,0,event z jadną głowna salą
272636,0,0,0,event z jadną głowna salą
313282,0,0,0,event z jadną głowna salą
345611,0,0,0,event z jadną głowna salą
365316,0,0,0,event z jadną głowna salą
388074,540,45,12,event z jadną głowna salą
313284,0,0,0,event z jadną głowna salą
345602,0,0,0,event z jadną głowna salą
349881,0,0,0,event z jadną głowna salą
365315,0,0,0,event z jadną głowna salą
385019,0,0,0,event bez numerowanych miejsc
266266,0,0,0,event z jadną głowna salą
315999,0,0,0,event z jadną głowna salą
323886,0,0,0,event z jadną głowna salą
349880,0,0,0,event z jadną głowna salą
349882,0,0,0,event z jadną głowna salą
365314,0,0,0,event z jadną głowna salą
390707,20,20,1,event bez numerowanych miejsc
385018,25,25,1,event bez numerowanych miejsc
326764,0,0,0,event z jadną głowna salą
345610,0,0,0,event z jadną głowna salą
382569,0,0,0,event z jadną głowna salą
329660,0,0,0,event z jadną głowna salą
346172,25,25,1,event z jadną głowna salą
313426,0,0,0,event z jadną głowna salą
302137,25,25,1,event z jadną głowna salą
391010,0,0,0,event z jadną głowna salą
392373,0,0,0,event bez numerowanych miejsc
302138,0,0,0,event z jadną głowna salą
433360,0,0,0,event bez numerowanych miejsc
388405,0,0,0,event bez numerowanych miejsc
433359,0,0,0,event bez numerowanych miejsc
387179,20,20,1,event z jadną głowna salą
390385,20,20,1,event bez numerowanych miejsc
361936,20,10,2,event bez numerowanych miejsc
339187,560,70,8,event bez numerowanych miejsc
387180,0,0,0,event z jadną głowna salą
394275,0,0,0,event z jadną głowna salą
387181,0,0,0,event z jadną głowna salą
391012,0,0,0,event z jadną głowna salą
249118,0,0,0,event bez numerowanych miejsc
249507,0,0,0,event bez numerowanych miejsc
249517,0,0,0,event bez numerowanych miejsc
249541,0,0,0,event bez numerowanych miejsc
249555,0,0,0,event bez numerowanych miejsc
249567,0,0,0,event bez numerowanych miejsc
249586,0,0,0,event bez numerowanych miejsc
249590,0,0,0,event bez numerowanych miejsc
249660,0,0,0,event bez numerowanych miejsc
249678,0,0,0,event bez numerowanych miejsc
260886,0,0,0,event bez numerowanych miejsc
248899,0,0,0,event bez numerowanych miejsc
248937,0,0,0,event bez numerowanych miejsc
248949,0,0,0,event bez numerowanych miejsc
248969,0,0,0,event bez numerowanych miejsc
248970,0,0,0,event bez numerowanych miejsc
248973,0,0,0,event bez numerowanych miejsc
249109,0,0,0,event bez numerowanych miejsc
249124,0,0,0,event bez numerowanych miejsc
249132,0,0,0,event bez numerowanych miejsc
249140,0,0,0,event bez numerowanych miejsc
249477,0,0,0,event bez numerowanych miejsc
249480,0,0,0,event bez numerowanych miejsc
249500,0,0,0,event bez numerowanych miejsc
249530,0,0,0,event bez numerowanych miejsc
249592,0,0,0,event bez numerowanych miejsc
249600,0,0,0,event bez numerowanych miejsc
249629,0,0,0,event bez numerowanych miejsc
249647,0,0,0,event bez numerowanych miejsc
249718,0,0,0,event bez numerowanych miejsc
249773,0,0,0,event bez numerowanych miejsc
249780,0,0,0,event bez numerowanych miejsc
249785,0,0,0,event bez numerowanych miejsc
249830,0,0,0,event bez numerowanych miejsc
260896,0,0,0,event bez numerowanych miejsc
260912,0,0,0,event bez numerowanych miejsc
260918,0,0,0,event bez numerowanych miejsc
260921,0,0,0,event bez numerowanych miejsc
260944,0,0,0,event bez numerowanych miejsc
260950,0,0,0,event bez numerowanych miejsc
260951,0,0,0,event bez numerowanych miejsc
260963,0,0,0,event bez numerowanych miejsc
260966,0,0,0,event bez numerowanych miejsc
260968,0,0,0,event bez numerowanych miejsc
260983,0,0,0,event bez numerowanych miejsc
260986,0,0,0,event bez numerowanych miejsc
260996,0,0,0,event bez numerowanych miejsc
261007,0,0,0,event bez numerowanych miejsc
248936,0,0,0,event bez numerowanych miejsc
249150,0,0,0,event bez numerowanych miejsc
249476,0,0,0,event bez numerowanych miejsc
249491,0,0,0,event bez numerowanych miejsc
249492,0,0,0,event bez numerowanych miejsc
249547,0,0,0,event bez numerowanych miejsc
249568,0,0,0,event bez numerowanych miejsc
249571,0,0,0,event bez numerowanych miejsc
249583,0,0,0,event bez numerowanych miejsc
249596,0,0,0,event bez numerowanych miejsc
249603,0,0,0,event bez numerowanych miejsc
249653,0,0,0,event bez numerowanych miejsc
249838,0,0,0,event bez numerowanych miejsc
260892,0,0,0,event bez numerowanych miejsc
260913,0,0,0,event bez numerowanych miejsc
260925,0,0,0,event bez numerowanych miejsc
260945,0,0,0,event bez numerowanych miejsc
261010,0,0,0,event bez numerowanych miejsc
261012,0,0,0,event bez numerowanych miejsc
248913,0,0,0,event bez numerowanych miejsc
248981,0,0,0,event bez numerowanych miejsc
249005,0,0,0,event bez numerowanych miejsc
249015,0,0,0,event bez numerowanych miejsc
249100,0,0,0,event bez numerowanych miejsc
249122,0,0,0,event bez numerowanych miejsc
249136,0,0,0,event bez numerowanych miejsc
249146,0,0,0,event bez numerowanych miejsc
249485,0,0,0,event bez numerowanych miejsc
249490,0,0,0,event bez numerowanych miejsc
249565,0,0,0,event bez numerowanych miejsc
249566,0,0,0,event bez numerowanych miejsc
249591,0,0,0,event bez numerowanych miejsc
249593,0,0,0,event bez numerowanych miejsc
249628,0,0,0,event bez numerowanych miejsc
249639,0,0,0,event bez numerowanych miejsc
249683,0,0,0,event bez numerowanych miejsc
249726,0,0,0,event bez numerowanych miejsc
249742,0,0,0,event bez numerowanych miejsc
249850,0,0,0,event bez numerowanych miejsc
260899,0,0,0,event bez numerowanych miejsc
260926,0,0,0,event bez numerowanych miejsc
261011,0,0,0,event bez numerowanych miejsc
248901,0,0,0,event bez numerowanych miejsc
248955,0,0,0,event bez numerowanych miejsc
248959,0,0,0,event bez numerowanych miejsc
248961,0,0,0,event bez numerowanych miejsc
248985,0,0,0,event bez numerowanych miejsc
248988,0,0,0,event bez numerowanych miejsc
248992,0,0,0,event bez numerowanych miejsc
249097,0,0,0,event bez numerowanych miejsc
249475,0,0,0,event bez numerowanych miejsc
249513,0,0,0,event bez numerowanych miejsc
249531,0,0,0,event bez numerowanych miejsc
249641,0,0,0,event bez numerowanych miejsc
249646,0,0,0,event bez numerowanych miejsc
249712,0,0,0,event bez numerowanych miejsc
249766,0,0,0,event bez numerowanych miejsc
260965,0,0,0,event bez numerowanych miejsc
248980,0,0,0,event bez numerowanych miejsc
248986,0,0,0,event bez numerowanych miejsc
248995,0,0,0,event bez numerowanych miejsc
249056,0,0,0,event bez numerowanych miejsc
249481,0,0,0,event bez numerowanych miejsc
249510,0,0,0,event bez numerowanych miejsc
249546,0,0,0,event bez numerowanych miejsc
249548,0,0,0,event bez numerowanych miejsc
249589,0,0,0,event bez numerowanych miejsc
249601,0,0,0,event bez numerowanych miejsc
249602,0,0,0,event bez numerowanych miejsc
249626,0,0,0,event bez numerowanych miejsc
249701,0,0,0,event bez numerowanych miejsc
249862,0,0,0,event bez numerowanych miejsc
260988,0,0,0,event bez numerowanych miejsc
248895,0,0,0,event bez numerowanych miejsc
248903,0,0,0,event bez numerowanych miejsc
249141,0,0,0,event bez numerowanych miejsc
249505,0,0,0,event bez numerowanych miejsc
249522,0,0,0,event bez numerowanych miejsc
249526,0,0,0,event bez numerowanych miejsc
249532,0,0,0,event bez numerowanych miejsc
249538,0,0,0,event bez numerowanych miejsc
249540,0,0,0,event bez numerowanych miejsc
249550,0,0,0,event bez numerowanych miejsc
249561,0,0,0,event bez numerowanych miejsc
249684,0,0,0,event bez numerowanych miejsc
249685,0,0,0,event bez numerowanych miejsc
249720,0,0,0,event bez numerowanych miejsc
249788,0,0,0,event bez numerowanych miejsc
249823,0,0,0,event bez numerowanych miejsc
249896,0,0,0,event bez numerowanych miejsc
261013,0,0,0,event bez numerowanych miejsc
248911,0,0,0,event bez numerowanych miejsc
248928,0,0,0,event bez numerowanych miejsc
248932,0,0,0,event bez numerowanych miejsc
249042,0,0,0,event bez numerowanych miejsc
249058,0,0,0,event bez numerowanych miejsc
249120,0,0,0,event bez numerowanych miejsc
249533,0,0,0,event bez numerowanych miejsc
249542,0,0,0,event bez numerowanych miejsc
249552,0,0,0,event bez numerowanych miejsc
249648,0,0,0,event bez numerowanych miejsc
249652,0,0,0,event bez numerowanych miejsc
249675,0,0,0,event bez numerowanych miejsc
249826,0,0,0,event bez numerowanych miejsc
249852,0,0,0,event bez numerowanych miejsc
248906,0,0,0,event bez numerowanych miejsc
248907,0,0,0,event bez numerowanych miejsc
248924,0,0,0,event bez numerowanych miejsc
249050,0,0,0,event bez numerowanych miejsc
249509,0,0,0,event bez numerowanych miejsc
249544,0,0,0,event bez numerowanych miejsc
249569,0,0,0,event bez numerowanych miejsc
249584,0,0,0,event bez numerowanych miejsc
249585,0,0,0,event bez numerowanych miejsc
249621,0,0,0,event bez numerowanych miejsc
249677,0,0,0,event bez numerowanych miejsc
249679,0,0,0,event bez numerowanych miejsc
249702,0,0,0,event bez numerowanych miejsc
249817,0,0,0,event bez numerowanych miejsc
260900,0,0,0,event bez numerowanych miejsc
260997,0,0,0,event bez numerowanych miejsc
248979,0,0,0,event bez numerowanych miejsc
248989,0,0,0,event bez numerowanych miejsc
249003,0,0,0,event bez numerowanych miejsc
249037,0,0,0,event bez numerowanych miejsc
249501,0,0,0,event bez numerowanych miejsc
249519,0,0,0,event bez numerowanych miejsc
249528,0,0,0,event bez numerowanych miejsc
249576,0,0,0,event bez numerowanych miejsc
249580,0,0,0,event bez numerowanych miejsc
249582,0,0,0,event bez numerowanych miejsc
249588,0,0,0,event bez numerowanych miejsc
249614,0,0,0,event bez numerowanych miejsc
249705,0,0,0,event bez numerowanych miejsc
249714,0,0,0,event bez numerowanych miejsc
249729,0,0,0,event bez numerowanych miejsc
248898,0,0,0,event bez numerowanych miejsc
248900,0,0,0,event bez numerowanych miejsc
248944,0,0,0,event bez numerowanych miejsc
248983,0,0,0,event bez numerowanych miejsc
249007,0,0,0,event bez numerowanych miejsc
249029,0,0,0,event bez numerowanych miejsc
249034,0,0,0,event bez numerowanych miejsc
249103,0,0,0,event bez numerowanych miejsc
249514,0,0,0,event bez numerowanych miejsc
249524,0,0,0,event bez numerowanych miejsc
249617,0,0,0,event bez numerowanych miejsc
249644,0,0,0,event bez numerowanych miejsc
249687,0,0,0,event bez numerowanych miejsc
249700,0,0,0,event bez numerowanych miejsc
249746,0,0,0,event bez numerowanych miejsc
249839,0,0,0,event bez numerowanych miejsc
249909,0,0,0,event bez numerowanych miejsc
248897,0,0,0,event bez numerowanych miejsc
248927,0,0,0,event bez numerowanych miejsc
248976,0,0,0,event bez numerowanych miejsc
248997,0,0,0,event bez numerowanych miejsc
249156,0,0,0,event bez numerowanych miejsc
249478,0,0,0,event bez numerowanych miejsc
249645,0,0,0,event bez numerowanych miejsc
249649,0,0,0,event bez numerowanych miejsc
249670,0,0,0,event bez numerowanych miejsc
249716,0,0,0,event bez numerowanych miejsc
249829,0,0,0,event bez numerowanych miejsc
249842,0,0,0,event bez numerowanych miejsc
249844,0,0,0,event bez numerowanych miejsc
261000,0,0,0,event bez numerowanych miejsc
248951,0,0,0,event bez numerowanych miejsc
248996,0,0,0,event bez numerowanych miejsc
249059,0,0,0,event bez numerowanych miejsc
249486,0,0,0,event bez numerowanych miejsc
249608,0,0,0,event bez numerowanych miejsc
249622,0,0,0,event bez numerowanych miejsc
249637,0,0,0,event bez numerowanych miejsc
249661,0,0,0,event bez numerowanych miejsc
249760,0,0,0,event bez numerowanych miejsc
249808,0,0,0,event bez numerowanych miejsc
248912,0,0,0,event bez numerowanych miejsc
248914,0,0,0,event bez numerowanych miejsc
248925,0,0,0,event bez numerowanych miejsc
248952,0,0,0,event bez numerowanych miejsc
248991,0,0,0,event bez numerowanych miejsc
249535,0,0,0,event bez numerowanych miejsc
249556,0,0,0,event bez numerowanych miejsc
249587,0,0,0,event bez numerowanych miejsc
249620,0,0,0,event bez numerowanych miejsc
249624,0,0,0,event bez numerowanych miejsc
249664,0,0,0,event bez numerowanych miejsc
249698,0,0,0,event bez numerowanych miejsc
249796,0,0,0,event bez numerowanych miejsc
248905,0,0,0,event bez numerowanych miejsc
248915,0,0,0,event bez numerowanych miejsc
248940,0,0,0,event bez numerowanych miejsc
249008,0,0,0,event bez numerowanych miejsc
249009,0,0,0,event bez numerowanych miejsc
249045,0,0,0,event bez numerowanych miejsc
249051,0,0,0,event bez numerowanych miejsc
249553,0,0,0,event bez numerowanych miejsc
249562,0,0,0,event bez numerowanych miejsc
249604,0,0,0,event bez numerowanych miejsc
249680,0,0,0,event bez numerowanych miejsc
249730,0,0,0,event bez numerowanych miejsc
249768,0,0,0,event bez numerowanych miejsc
249778,0,0,0,event bez numerowanych miejsc
249784,0,0,0,event bez numerowanych miejsc
248904,0,0,0,event bez numerowanych miejsc
248933,0,0,0,event bez numerowanych miejsc
248953,0,0,0,event bez numerowanych miejsc
248954,0,0,0,event bez numerowanych miejsc
248972,0,0,0,event bez numerowanych miejsc
249494,0,0,0,event bez numerowanych miejsc
249511,0,0,0,event bez numerowanych miejsc
249529,0,0,0,event bez numerowanych miejsc
249772,0,0,0,event bez numerowanych miejsc
249800,0,0,0,event bez numerowanych miejsc
249819,0,0,0,event bez numerowanych miejsc
249849,0,0,0,event bez numerowanych miejsc
249903,0,0,0,event bez numerowanych miejsc
248908,0,0,0,event bez numerowanych miejsc
248962,0,0,0,event bez numerowanych miejsc
248977,0,0,0,event bez numerowanych miejsc
249516,0,0,0,event bez numerowanych miejsc
249536,0,0,0,event bez numerowanych miejsc
249572,0,0,0,event bez numerowanych miejsc
249640,0,0,0,event bez numerowanych miejsc
248960,0,0,0,event bez numerowanych miejsc
248987,0,0,0,event bez numerowanych miejsc
249057,0,0,0,event bez numerowanych miejsc
249612,0,0,0,event bez numerowanych miejsc
249636,0,0,0,event bez numerowanych miejsc
249776,0,0,0,event bez numerowanych miejsc
248993,0,0,0,event bez numerowanych miejsc
248994,0,0,0,event bez numerowanych miejsc
249060,0,0,0,event bez numerowanych miejsc
249125,0,0,0,event bez numerowanych miejsc
249597,0,0,0,event bez numerowanych miejsc
249618,0,0,0,event bez numerowanych miejsc
249815,0,0,0,event bez numerowanych miejsc
249869,0,0,0,event bez numerowanych miejsc
249904,0,0,0,event bez numerowanych miejsc
260969,0,0,0,event bez numerowanych miejsc
249049,40,40,1,event bez numerowanych miejsc
249108,35,35,1,event bez numerowanych miejsc
249115,0,0,0,event bez numerowanych miejsc
249130,30,30,1,event bez numerowanych miejsc
249873,20,20,1,event bez numerowanych miejsc
249901,0,0,0,event bez numerowanych miejsc
248931,0,0,0,event bez numerowanych miejsc
248956,35,35,1,event bez numerowanych miejsc
248978,35,35,1,event bez numerowanych miejsc
249032,0,0,0,event bez numerowanych miejsc
249043,40,40,1,event bez numerowanych miejsc
249063,35,35,1,event bez numerowanych miejsc
249605,0,0,0,event bez numerowanych miejsc
249631,35,35,1,event bez numerowanych miejsc
249642,35,35,1,event bez numerowanych miejsc
249707,40,40,1,event bez numerowanych miejsc
249825,25,25,1,event bez numerowanych miejsc
249866,25,25,1,event bez numerowanych miejsc
249919,0,0,0,event bez numerowanych miejsc
248943,40,40,1,event bez numerowanych miejsc
249072,35,35,1,event bez numerowanych miejsc
249112,0,0,0,event bez numerowanych miejsc
249782,30,30,1,event bez numerowanych miejsc
249811,35,35,1,event bez numerowanych miejsc
249031,25,25,1,event bez numerowanych miejsc
249044,35,35,1,event bez numerowanych miejsc
249074,40,40,1,event bez numerowanych miejsc
249117,30,30,1,event bez numerowanych miejsc
249727,45,45,1,event bez numerowanych miejsc
249874,0,0,0,event bez numerowanych miejsc
248963,0,0,0,event bez numerowanych miejsc
249123,35,35,1,event bez numerowanych miejsc
249595,30,30,1,event bez numerowanych miejsc
249634,0,0,0,event bez numerowanych miejsc
249703,35,35,1,event bez numerowanych miejsc
249786,0,0,0,event bez numerowanych miejsc
249840,35,35,1,event bez numerowanych miejsc
